manufacturer;model;type;min.price.euros;mid.price.euros;max.price.euros;city.kmpl;highway.kmpl;air.bags;n.cylinders;engine.size;horse.power;rpm;engine.rev;manual.transmission;fuel.tank.litres;n.passengers;length.meters;width.meters;wheelbase.meters;weight.kg
Acura;Integra;Small;10,836;13,356;15,792;10,6275;13,1781;0;4;1,8;140;6300;2890;1;49,96728;5;4,4958;1,7272;2,5908;1226,96636
Acura;Legend;Midsize;24,528;28,476;32,508;7,6518;10,6275;2;6;3,2;200;5500;2335;1;68,1372;5;4,953;1,8034;2,921;1614,78752
Audi;90;Compact;21,756;24,444;27,132;8,502;11,0526;1;6;2,8;172;5500;2280;1;63,97326;5;4,572;1,7018;2,5908;1530,873
Audi;100;Midsize;25,872;31,668;37,464;8,0769;11,0526;2;6;2,8;172;5500;2535;1;79,87194;6;4,9022;1,778;2,6924;1544,48076
BMW;535i;Midsize;19,908;25,2;30,408;9,3522;12,753;1;4;3,5;208;5700;2545;1;79,87194;4;4,7244;1,7526;2,7686;1651,07488
Buick;Century;Midsize;11,928;13,188;14,532;9,3522;13,1781;1;4;2,2;110;5200;2565;0;62,08056;6;4,8006;1,7526;2,667;1306,34496
Buick;LeSabre;Large;16,716;17,472;18,228;8,0769;11,9028;1;6;3,8;170;4800;1570;0;68,1372;6;5,08;1,8796;2,8194;1573,96424
Buick;Roadmaster;Large;18,984;19,908;20,916;6,8016;10,6275;1;6;5,7;180;4000;1320;0;87,0642;6;5,4864;1,9812;2,9464;1861,99516
Buick;Riviera;Midsize;22,092;22,092;22,092;8,0769;11,4777;1;6;3,8;170;4800;1690;0;71,16552;5;5,0292;1,8542;2,7432;1585,30404
Cadillac;DeVille;Large;27,72;29,148;30,492;6,8016;10,6275;1;8;4,9;200;4100;1510;0;68,1372;6;5,2324;1,8542;2,8956;1642,00304
Cadillac;Seville;Midsize;31,5;33,684;35,868;6,8016;10,6275;2;8;4,6;295;6000;1985;0;75,708;5;5,1816;1,8796;2,8194;1784,88452
Chevrolet;Cavalier;Compact;7,14;11,256;15,372;10,6275;15,3036;0;4;2,2;110;5200;2380;1;57,53808;5;4,6228;1,6764;2,5654;1129,44408
Chevrolet;Corsica;Compact;9,576;9,576;9,576;10,6275;14,4534;1;4;2,2;110;5200;2665;1;59,05224;5;4,6736;1,7272;2,6162;1263,25372
Chevrolet;Camaro;Sporty;11,256;12,684;14,112;8,0769;11,9028;2;6;3,4;160;4600;1805;1;58,6737;4;4,9022;1,8796;2,5654;1469,63808
Chevrolet;Lumina;Midsize;11,256;13,356;15,456;8,9271;12,3279;0;4;2,2;110;5200;2595;0;62,4591;6;5,0292;1,8034;2,7432;1449,22644
Chevrolet;Lumina_APV;Van;12,348;13,692;15,12;7,6518;9,7773;0;6;3,8;170;4800;1690;0;75,708;7;4,5212;1,8796;2,794;1685,09428
Chevrolet;Astro;Van;12,348;13,944;15,624;6,3765;8,502;0;6;4,3;165;4000;1790;0;102,2058;8;4,9276;1,9812;2,8194;1825,7078
Chevrolet;Caprice;Large;15,12;15,792;16,464;7,2267;11,0526;1;8;5;170;4200;1350;0;87,0642;6;5,4356;1,9558;2,9464;1773,54472
Chevrolet;Corvette;Sporty;29,064;31,92;34,86;7,2267;10,6275;1;8;5,7;300;5000;1450;1;75,708;2;4,5466;1,8796;2,4384;1533,14096
Chrylser;Concorde;Large;15,456;15,456;15,456;8,502;11,9028;2;6;3,3;153;5300;1990;0;68,1372;6;5,1562;1,8796;2,8702;1594,37588
Chrysler;LeBaron;Compact;12,18;13,272;14,364;9,7773;11,9028;2;4;3;141;5000;2090;0;60,5664;6;4,6482;1,7272;2,6416;1399,33132
Chrysler;Imperial;Large;24,78;24,78;24,78;8,502;11,0526;1;6;3,3;147;4800;1785;0;60,5664;6;5,1562;1,7526;2,794;1619,32344
Dodge;Colt;Small;6,636;7,728;8,904;12,3279;14,0283;0;4;1,5;92;6000;3285;1;49,96728;5;4,4196;1,6764;2,4892;1029,65384
Dodge;Shadow;Small;7,056;9,492;11,928;9,7773;12,3279;1;4;2,2;93;4800;2595;1;52,9956;5;4,3688;1,7018;2,4638;1211,09064
Dodge;Spirit;Compact;9,996;11,172;12,348;9,3522;11,4777;1;4;2,5;100;4800;2535;1;60,5664;6;4,5974;1,7272;2,6416;1347,16824
Dodge;Caravan;Van;11,424;15,96;20,496;7,2267;8,9271;1;6;3;142;5000;1970;0;75,708;7;4,445;1,8288;2,8448;1680,55836
Dodge;Dynasty;Midsize;12,432;13,104;13,776;8,9271;11,4777;1;4;2,5;100;4800;2465;0;60,5664;6;4,8768;1,7526;2,667;1397,06336
Dodge;Stealth;Sporty;15,54;21,672;27,804;7,6518;10,2024;1;6;3;300;6000;2120;1;74,95092;4;4,572;1,8288;2,4638;1725,91756
Eagle;Summit;Small;6,636;10,248;13,86;12,3279;14,0283;0;4;1,5;92;6000;2505;1;49,96728;5;4,4196;1,6764;2,4892;1040,99364
Eagle;Vision;Large;14,7;16,212;17,808;8,502;11,9028;2;6;3,5;214;5800;1980;0;68,1372;6;5,1308;1,8796;2,8702;1583,03608
Ford;Festiva;Small;5,796;6,216;6,636;13,1781;14,0283;0;4;1,3;63;5000;3150;1;37,854;4;3,5814;1,6002;2,286;836,87724
Ford;Escort;Small;7,056;8,484;9,996;9,7773;12,753;0;4;1,8;127;6500;2410;1;49,96728;5;4,3434;1,7018;2,4892;1147,58776
Ford;Tempo;Compact;8,736;9,492;10,248;9,3522;11,4777;0;4;2,3;96;4200;2805;1;60,18786;5;4,4958;1,7272;2,54;1220,16248
Ford;Mustang;Sporty;9,072;13,356;17,64;9,3522;12,3279;1;4;2,3;105;4600;2285;1;58,29516;4;4,572;1,7272;2,5654;1292,7372
Ford;Probe;Sporty;10,752;11,76;12,768;10,2024;12,753;1;4;2;115;5500;2340;1;58,6737;4;4,5466;1,778;2,6162;1229,23432
Ford;Aerostar;Van;12,18;16,716;21,252;6,3765;8,502;1;6;3;145;4800;2080;1;79,4934;7;4,4704;1,8288;3,0226;1694,16612
Ford;Taurus;Midsize;13,104;16,968;20,832;8,9271;12,753;1;6;3;140;4800;1885;0;60,5664;5;4,8768;1,8034;2,6924;1508,1934
Ford;Crown_Victoria;Large;16,884;17,556;18,228;7,6518;11,0526;1;8;4,6;190;4200;1415;0;75,708;6;5,3848;1,9812;2,8956;1791,6884
Geo;Metro;Small;5,628;7,056;8,4;19,5546;21,255;0;3;1;55;5700;3755;1;40,12524;4;3,8354;1,6002;2,3622;768,83844
Geo;Storm;Sporty;9,66;10,5;11,34;12,753;15,3036;1;4;1,6;90;5400;3250;1;46,93896;4;4,1656;1,7018;2,4638;1122,6402
Honda;Prelude;Sporty;14,28;16,632;19,068;10,2024;13,1781;2;4;2,3;160;5800;2855;1;60,18786;4;4,445;1,778;2,54;1299,54108
Honda;Civic;Small;7,056;10,164;13,272;17,8542;19,5546;1;4;1,5;102;5900;2650;1;45,04626;4;4,3942;1,7018;2,6162;1065,9412
Honda;Accord;Compact;11,592;14,7;17,808;10,2024;13,1781;2;4;2,2;140;5600;2610;1;64,3518;4;4,699;1,7018;2,7178;1378,91968
Hyundai;Excel;Small;5,712;6,72;7,728;12,3279;14,0283;0;4;1,5;81;5500;2710;1;45,04626;5;4,2672;1,6002;2,3876;1063,67324
Hyundai;Elantra;Small;7,56;8,4;9,24;9,3522;12,3279;0;4;1,8;124;6000;2745;1;51,85998;5;4,3688;1,6764;2,4892;1188,41104
Hyundai;Scoupe;Sporty;7,644;8,4;9,24;11,0526;14,4534;0;4;1,5;92;5550;2540;1;45,04626;4;4,2164;1,6256;2,3876;1036,45772
Hyundai;Sonata;Midsize;10,416;11,676;12,852;8,502;11,4777;0;4;2;128;6000;2335;1;65,10888;5;4,6736;1,7526;2,6416;1308,61292
Infiniti;Q45;Midsize;38,136;40,236;42,336;7,2267;9,3522;1;8;4,5;278;6000;1955;0;85,1715;5;5,08;1,8288;2,8702;1814,368
Lexus;ES300;Midsize;23,1;23,52;23,856;7,6518;10,2024;1;6;3;185;5200;2325;1;70,0299;5;4,7752;1,778;2,6162;1592,10792
Lexus;SC300;Midsize;29,148;29,568;29,904;7,6518;9,7773;2;6;3;225;6000;2510;1;77,97924;4;4,8514;1,8034;2,6924;1594,37588
Lincoln;Continental;Midsize;27,972;28,812;29,652;7,2267;11,0526;2;6;3,8;160;4400;1835;0;69,65136;6;5,207;1,8542;2,7686;1676,02244
Lincoln;Town_Car;Large;28,896;30,324;31,752;7,6518;11,0526;2;8;4,6;210;4600;1840;0;75,708;6;5,5626;1,9558;2,9718;1839,31556
Mazda;323;Small;6,216;6,972;7,644;12,3279;15,7287;0;4;1,6;82;5000;2370;1;49,96728;4;4,1656;1,6764;2,4638;1054,6014
Mazda;Protege;Small;9,156;9,744;10,332;11,9028;15,3036;0;4;1,8;103;5500;2220;1;54,8883;5;4,3688;1,6764;2,4892;1106,76448
Mazda;626;Compact;12,012;13,86;15,708;11,0526;14,4534;1;4;2,5;164;5600;2505;1;58,6737;5;4,6736;1,7526;2,6162;1347,16824
Mazda;MPV;Van;13,944;16,044;18,228;7,6518;10,2024;0;6;3;155;5000;2240;0;74,19384;7;4,826;1,8288;2,794;1694,16612
Mazda;RX-7;Sporty;27,3;27,3;27,3;7,2267;10,6275;1;6;1,3;255;6500;2325;1;75,708;2;4,2926;1,7526;2,4384;1313,14884
Mercedes-Benz;190E;Compact;24,36;26,796;29,316;8,502;12,3279;1;4;2,3;130;5100;2425;1;54,8883;5;4,445;1,7018;2,667;1324,48864
Mercedes-Benz;300E;Midsize;36,792;51,996;67,2;8,0769;10,6275;2;6;3,2;217;5500;2220;0;70,0299;5;4,7498;1,7526;2,794;1598,9118
Mercury;Capri;Sporty;11,172;11,844;12,6;9,7773;11,0526;1;4;1,6;100;5750;2475;1;42,01794;4;4,2164;1,651;2,413;1111,3004
Mercury;Cougar;Midsize;12,516;12,516;12,516;8,0769;11,0526;0;6;3,8;140;3800;1730;0;68,1372;5;5,0546;1,8542;2,8702;1637,46712
Mitsubishi;Mirage;Small;6,468;8,652;10,836;12,3279;14,0283;0;4;1,5;92;6000;2505;1;49,96728;5;4,3688;1,7018;2,4892;1040,99364
Mitsubishi;Diamante;Midsize;18,816;21,924;25,116;7,6518;10,2024;1;6;3;202;6000;2210;0;71,9226;5;4,826;1,778;2,7178;1691,89816
Nissan;Sentra;Small;7,308;9,912;12,516;12,3279;14,0283;1;4;1,6;110;6000;2435;1;49,96728;5;4,318;1,6764;2,4384;1154,39164
Nissan;Altima;Compact;10,92;13,188;15,372;10,2024;12,753;1;4;2,4;150;5600;2130;1;60,18786;5;4,5974;1,7018;2,6162;1383,4556
Nissan;Quest;Van;14,028;16,044;18,06;7,2267;9,7773;0;6;3;151;4800;2065;0;75,708;7;4,826;1,8796;2,8448;1859,7272
Nissan;Maxima;Midsize;17,64;18,06;18,48;8,9271;11,0526;1;6;3;160;5200;2045;0;70,0299;5;4,7752;1,7526;2,6416;1451,4944
Oldsmobile;Achieva;Compact;10,92;11,34;11,76;10,2024;13,1781;0;4;2,3;155;6000;2380;0;57,53808;5;4,7752;1,7018;2,6162;1319,95272
Oldsmobile;Cutlass_Ciera;Midsize;11,928;13,692;15,456;9,7773;13,1781;1;4;2,2;110;5200;2565;0;62,4591;5;4,826;1,778;2,667;1310,88088
Oldsmobile;Silhouette;Van;16,38;16,38;16,38;7,6518;9,7773;0;6;3,8;170;4800;1690;0;75,708;7;4,9276;1,8796;2,794;1685,09428
Oldsmobile;Eighty-Eight;Large;16,38;17,388;18,396;8,0769;11,9028;1;6;3,8;170;4800;1570;0;68,1372;6;5,1054;1,8796;2,8194;1573,96424
Plymouth;Laser;Sporty;9,576;12,096;14,616;9,7773;12,753;0;4;1,8;92;5000;2360;1;60,18786;4;4,3942;1,7018;2,4638;1197,48288
Pontiac;LeMans;Small;6,888;7,56;8,316;13,1781;17,4291;0;4;1,6;74;5600;3130;1;49,96728;4;4,4958;1,6764;2,5146;1065,9412
Pontiac;Sunbird;Compact;7,896;9,324;10,752;9,7773;13,1781;0;4;2;110;5200;2665;1;57,53808;5;4,5974;1,6764;2,5654;1167,9994
Pontiac;Firebird;Sporty;11,76;14,868;17,976;8,0769;11,9028;2;6;3,4;160;4600;1805;1;58,6737;4;4,9784;1,905;2,5654;1469,63808
Pontiac;Grand_Prix;Midsize;12,936;15,54;18,144;8,0769;11,4777;0;6;3,4;200;5000;1890;1;62,4591;5;4,953;1,8288;2,7432;1564,8924
Pontiac;Bonneville;Large;16,296;20,496;24,696;8,0769;11,9028;2;6;3,8;170;4800;1565;0;68,1372;6;4,4958;1,8796;2,8194;1585,30404
Saab;900;Compact;17,052;24,108;31,164;8,502;11,0526;1;4;2,1;140;6000;2910;1;68,1372;5;4,6736;1,7018;2,5146;1258,7178
Saturn;SL;Small;7,728;9,324;10,836;11,9028;16,1538;1;4;1,9;85;5000;2145;1;48,45312;5;4,4704;1,7272;2,5908;1131,71204
Subaru;Justy;Small;6,132;7,056;7,98;14,0283;15,7287;0;3;1,2;73;5600;2875;1;34,82568;4;3,7084;1,524;2,286;927,59564
Subaru;Loyale;Small;8,82;9,156;9,492;10,6275;12,753;0;4;1,8;90;5200;3375;1;60,18786;5;4,445;1,651;2,4638;1129,44408
Subaru;Legacy;Compact;13,692;16,38;19,068;9,7773;12,753;1;4;2,2;130;5600;2330;1;60,18786;5;4,5466;1,7018;2,5908;1399,33132
Suzuki;Swift;Small;6,132;7,224;8,4;16,5789;18,2793;0;3;1,3;70;6000;3360;1;40,12524;4;4,0894;1,6002;2,3622;891,30828
Toyota;Tercel;Small;6,552;8,232;9,912;13,6032;15,7287;1;4;1,5;82;5200;3505;1;45,04626;5;4,1148;1,651;2,3876;932,13156
Toyota;Celica;Sporty;11,928;15,456;18,984;10,6275;13,6032;1;4;2,2;135;5400;2405;1;60,18786;4;4,4196;1,7526;2,5146;1338,0964
Toyota;Camry;Midsize;12,768;15,288;17,808;9,3522;12,3279;1;4;2,2;130;5400;2340;1;70,0299;5;4,7752;1,778;2,6162;1374,38376
Toyota;Previa;Van;15,876;19,068;22,344;7,6518;9,3522;1;4;2,4;138;5000;2515;1;74,95092;7;4,7498;1,8034;2,8702;1716,84572
Volkswagen;Fox;Small;7,308;7,644;7,98;10,6275;14,0283;0;4;1,8;81;5500;2550;1;46,93896;4;4,1402;1,6002;2,3622;1016,04608
Volkswagen;Eurovan;Van;13,944;16,548;19,068;7,2267;8,9271;0;5;2,5;109;4500;2915;1;79,87194;7;4,7498;1,8288;2,921;1796,22432
Volkswagen;Passat;Compact;14,784;16,8;18,816;8,9271;12,753;0;4;2;134;5800;2685;1;70,0299;5;4,572;1,7018;2,6162;1353,97212
Volkswagen;Corrado;Sporty;19,236;19,572;19,908;7,6518;10,6275;0;6;2,8;178;5800;2385;1;70,0299;4;4,0386;1,6764;2,4638;1274,59352
Volvo;240;Compact;18,312;19,068;19,74;8,9271;11,9028;1;4;2,3;114;5400;2215;1;59,80932;5;4,826;1,7018;2,6416;1353,97212
Volvo;850;Midsize;20,832;22,428;23,94;8,502;11,9028;2;5;2,4;168;6200;2310;1;73,05822;5;4,6736;1,7526;2,667;1471,90604
